month,AIRPORT,Dom_Pax_In,Dom_Pax_Out,Dom_Pax_Total,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Pax_In,Pax_Out,Pax_Total
2017/10/1,All Australian Airports,5383951,5383951,10767902,1826871,1543057,3369928,7210822,6927008,14137830
2017/11/1,All Australian Airports,5180835,5180835,10361670,1571174,1620735,3191909,6752009,6801570,13553579
2017/12/1,All Australian Airports,5210078,5210078,10420156,1773170,2053765,3826935,6983248,7263843,14247091
2018/1/1,All Australian Airports,5043999,5043999,10087998,2098405,1786996,3885401,7142404,6830995,13973399
2018/2/1,All Australian Airports,4504532,4504532,9009064,1697805,1489815,3187620,6202337,5994347,12196684
2018/3/1,All Australian Airports,5190412,5190412,10380824,1660037,1710242,3370279,6850449,6900654,13751103
2018/4/1,All Australian Airports,5039703,5039703,10079406,1664141,1697992,3362133,6703844,6737695,13441539
2018/5/1,All Australian Airports,4822555,4822555,9645110,1477266,1549386,3026652,6299821,6371941,12671762
2018/6/1,All Australian Airports,4675646,4675646,9351292,1504833,1772073,3276906,6180479,6447719,12628198
2018/7/1,All Australian Airports,5397177,5397177,10794354,1994170,1716945,3711115,7391347,7114122,14505469
2018/8/1,All Australian Airports,5143248,5143248,10286496,1711828,1757645,3469473,6855076,6900893,13755969
2018/9/1,All Australian Airports,5040389,5040389,10080778,1710672,1752050,3462722,6751061,6792439,13543500
2018/10/1,All Australian Airports,5452401,5452401,10904802,1925383,1622374,3547757,7377784,7074775,14452559
2018/11/1,All Australian Airports,5186397,5186397,10372794,1636769,1687907,3324676,6823166,6874304,13697470
2018/12/1,All Australian Airports,5101681,5101681,10203362,1808282,2142297,3950579,6909963,7243978,14153941
2019/1/1,All Australian Airports,5027336,5027336,10054672,2187442,1885630,4073072,7214778,6912966,14127744
2019/2/1,All Australian Airports,4463182,4463182,8926364,1757525,1499283,3256808,6220707,5962465,12183172
2019/3/1,All Australian Airports,5021745,5021745,10043490,1629562,1655711,3285273,6651307,6677456,13328763
2019/4/1,All Australian Airports,5110268,5110268,10220536,1701680,1801316,3502996,6811948,6911584,13723532
2019/5/1,All Australian Airports,4845606,4845606,9691212,1579940,1627989,3207929,6425546,6473595,12899141
2019/6/1,All Australian Airports,4667607,4667607,9335214,1545754,1782850,3328604,6213361,6450457,12663818
2019/7/1,All Australian Airports,5410063,5410063,10820126,1985113,1750509,3735622,7395176,7160572,14555748
2019/8/1,All Australian Airports,5154156,5154156,10308312,1766857,1801853,3568710,6921013,6956009,13877022
2019/9/1,All Australian Airports,5145952,5145952,10291904,1721451,1775323,3496774,6867403,6921275,13788678
2019/10/1,All Australian Airports,5604724,5604724,11209448,1926727,1660515,3587242,7531451,7265239,14796690
